ARRIVAL TIME,BURST TIME,PRIORITY
1,36,3
2,18,2
3,92,3
3,11,1
3,3,1
4,4,3
5,42,1
6,100,3
7,84,2
7,45,2
7,66,2
8,10,3
9,13,3
9,10,3
10,12,1
11,74,1
11,8,1
12,5,2
12,71,2
12,26,3
12,16,1
13,31,1
14,4,1
14,0,3
14,11,2
14,70,2
14,0,2
15,84,2
16,75,2
16,57,1
17,94,2
18,77,2
19,31,3
20,47,3
20,1,3
20,16,2
21,67,3
21,10,2
22,28,3
22,23,3
23,11,2
24,86,2
24,3,2
25,8,2
25,54,2
26,61,3
26,79,2
27,12,1
27,23,1
28,94,2
28,49,3
29,81,2
30,51,3
30,12,1
31,95,1
31,60,1
31,46,3
31,98,2
31,49,2
31,61,1
32,41,1
33,74,1
33,78,3
33,80,3
34,15,1
34,89,2
34,80,2
34,37,1
35,38,3
36,79,3
37,53,1
38,44,3
38,95,1
38,93,1
38,14,2
39,37,3
40,83,1
41,68,2
41,1,1
41,81,2
41,46,1
42,38,2
42,98,2
42,32,1
43,49,3
43,34,2
44,20,3
45,88,1
45,15,3
46,74,2
47,90,1
48,0,3
49,27,3
49,51,1
50,25,3
50,85,3
51,20,3
52,94,1
53,62,1
54,27,2
