Job ID,Arrival,Burst,Priority,Start,End,Turn Around
0,0,100,1,0,100,100
1,1,15,3,100,115,114
2,2,29,1,115,144,142
3,3,87,1,144,231,228
4,3,35,3,231,266,263
5,4,67,1,266,333,329
6,5,15,1,333,348,343
7,5,15,2,348,363,358
8,5,30,2,363,393,388
9,6,92,1,393,485,479
10,6,81,1,485,566,560
11,6,72,3,566,638,632
12,7,50,1,638,688,681
13,8,34,3,688,722,714
14,9,80,3,722,802,793
15,9,47,1,802,849,840
16,10,94,2,849,943,933
17,11,34,1,943,977,966
18,11,89,2,977,1066,1055
19,12,56,3,1066,1122,1110
20,12,44,1,1122,1166,1154
21,13,6,1,1166,1172,1159
22,13,71,1,1172,1243,1230
23,14,30,1,1243,1273,1259
24,14,79,1,1273,1352,1338
25,14,1,3,1352,1353,1339
26,14,71,1,1353,1424,1410
27,15,9,3,1424,1433,1418
28,15,80,2,1433,1513,1498
29,16,34,2,1513,1547,1531
30,17,70,3,1547,1617,1600
31,18,34,3,1617,1651,1633
32,19,58,3,1651,1709,1690
33,20,89,2,1709,1798,1778
34,21,55,1,1798,1853,1832
35,22,64,1,1853,1917,1895
36,23,77,3,1917,1994,1971
37,24,18,2,1994,2012,1988
38,24,96,1,2012,2108,2084
39,24,24,2,2108,2132,2108
40,24,83,2,2132,2215,2191
41,24,2,2,2215,2217,2193
42,24,17,2,2217,2234,2210
43,25,84,1,2234,2318,2293
44,25,40,3,2318,2358,2333
45,25,9,2,2358,2367,2342
46,26,83,3,2367,2450,2424
47,27,0,3,2450,2450,2423
48,28,57,1,2450,2507,2479
49,29,2,1,2507,2509,2480
50,29,62,1,2509,2571,2542
51,30,51,1,2571,2622,2592
52,31,24,1,2622,2646,2615
53,32,23,1,2646,2669,2637
54,32,68,2,2669,2737,2705
55,32,0,3,2737,2737,2705
56,32,8,3,2737,2745,2713
57,33,15,1,2745,2760,2727
58,33,67,1,2760,2827,2794
59,33,28,2,2827,2855,2822
60,34,9,1,2855,2864,2830
61,35,65,2,2864,2929,2894
62,35,3,1,2929,2932,2897
63,36,2,3,2932,2934,2898
64,37,57,3,2934,2991,2954
65,37,98,1,2991,3089,3052
66,37,46,1,3089,3135,3098
67,38,43,3,3135,3178,3140
68,39,31,1,3178,3209,3170
69,40,64,2,3209,3273,3233
70,41,42,3,3273,3315,3274
71,41,99,2,3315,3414,3373
72,42,34,2,3414,3448,3406
73,42,82,3,3448,3530,3488
74,43,47,2,3530,3577,3534
75,43,57,2,3577,3634,3591
76,44,47,3,3634,3681,3637
77,45,100,3,3681,3781,3736
78,46,24,2,3781,3805,3759
79,46,46,1,3805,3851,3805
80,46,85,3,3851,3936,3890
81,47,56,2,3936,3992,3945
82,47,76,1,3992,4068,4021
83,48,34,2,4068,4102,4054
84,48,80,2,4102,4182,4134
85,48,30,3,4182,4212,4164
86,48,73,3,4212,4285,4237
87,49,57,1,4285,4342,4293
88,50,75,3,4342,4417,4367
89,50,22,3,4417,4439,4389
90,50,23,3,4439,4462,4412
91,51,51,3,4462,4513,4462
92,52,1,2,4513,4514,4462
93,52,28,3,4514,4542,4490
94,52,9,3,4542,4551,4499
95,53,67,1,4551,4618,4565
96,53,19,1,4618,4637,4584
97,53,40,3,4637,4677,4624
98,54,93,2,4677,4770,4716
99,54,13,3,4770,4783,4729
100,54,69,3,4783,4852,4798
101,55,74,3,4852,4926,4871
102,55,73,3,4926,4999,4944
103,56,43,3,4999,5042,4986
104,56,0,3,5042,5042,4986
105,57,26,3,5042,5068,5011
106,58,80,3,5068,5148,5090
107,59,36,2,5148,5184,5125
108,60,1,1,5184,5185,5125
109,61,65,2,5185,5250,5189
110,61,17,2,5250,5267,5206
111,62,44,2,5267,5311,5249
112,62,99,2,5311,5410,5348
113,62,21,3,5410,5431,5369
114,62,35,3,5431,5466,5404
115,62,28,2,5466,5494,5432
116,63,32,3,5494,5526,5463
117,63,49,1,5526,5575,5512
118,64,95,3,5575,5670,5606
119,65,92,1,5670,5762,5697
120,66,27,2,5762,5789,5723
121,66,11,3,5789,5800,5734
122,67,43,3,5800,5843,5776
123,67,51,1,5843,5894,5827
124,68,39,3,5894,5933,5865
125,69,57,3,5933,5990,5921
126,70,86,1,5990,6076,6006
127,70,84,1,6076,6160,6090
128,70,37,1,6160,6197,6127
129,71,100,1,6197,6297,6226
130,71,8,3,6297,6305,6234
131,71,17,2,6305,6322,6251
132,71,54,3,6322,6376,6305
133,72,77,1,6376,6453,6381
134,72,80,1,6453,6533,6461
135,73,94,1,6533,6627,6554
136,73,23,3,6627,6650,6577
137,74,67,2,6650,6717,6643
138,75,95,2,6717,6812,6737
139,75,28,2,6812,6840,6765
140,75,94,1,6840,6934,6859
141,75,5,2,6934,6939,6864
142,76,16,1,6939,6955,6879
143,76,96,1,6955,7051,6975
144,76,29,1,7051,7080,7004
145,77,4,2,7080,7084,7007
146,77,32,1,7084,7116,7039
147,77,92,1,7116,7208,7131
148,78,53,2,7208,7261,7183
149,78,93,1,7261,7354,7276
150,79,92,3,7354,7446,7367
151,80,81,3,7446,7527,7447
152,81,55,1,7527,7582,7501
153,81,35,1,7582,7617,7536
154,82,44,3,7617,7661,7579
155,82,24,2,7661,7685,7603
156,83,18,2,7685,7703,7620
157,84,57,2,7703,7760,7676
158,84,89,3,7760,7849,7765
159,85,22,2,7849,7871,7786
160,86,65,2,7871,7936,7850
161,86,84,2,7936,8020,7934
162,86,43,2,8020,8063,7977
163,87,87,1,8063,8150,8063
164,88,65,2,8150,8215,8127
165,88,84,1,8215,8299,8211
166,88,100,1,8299,8399,8311
167,88,88,1,8399,8487,8399
168,89,57,1,8487,8544,8455
169,90,39,2,8544,8583,8493
170,91,39,3,8583,8622,8531
171,92,14,1,8622,8636,8544
172,93,44,3,8636,8680,8587
173,94,19,3,8680,8699,8605
174,95,46,2,8699,8745,8650
175,95,3,2,8745,8748,8653
176,95,18,3,8748,8766,8671
177,96,8,3,8766,8774,8678
178,96,92,3,8774,8866,8770
179,97,8,1,8866,8874,8777
180,98,59,1,8874,8933,8835
181,99,2,2,8933,8935,8836
182,99,11,3,8935,8946,8847
183,100,84,1,8946,9030,8930
184,100,4,2,9030,9034,8934
185,100,54,3,9034,9088,8988
186,100,89,2,9088,9177,9077
187,100,39,3,9177,9216,9116
