Job ID,Arrival,Burst,Priority,Deadline,Start,End,Turn Around
0,0,41,1,3,0,41,41
3,1,27,2,16,41,68,67
2,1,62,2,9,68,130,129
1,1,65,2,11,130,195,194
4,2,25,2,7,195,220,218
6,2,47,2,16,220,267,265
5,2,67,1,7,267,334,332
7,2,90,2,20,334,424,422
8,3,2,2,16,424,426,423
9,3,35,2,17,426,461,458
10,4,35,1,16,461,496,492
14,5,49,2,20,496,545,540
12,5,51,3,23,545,596,591
11,5,80,2,14,596,676,671
13,5,95,1,17,676,771,766
15,6,80,1,17,771,851,845
16,7,10,1,8,851,861,854
17,8,25,1,12,861,886,878
18,9,33,3,25,886,919,910
20,10,8,1,30,919,927,917
19,10,23,2,14,927,950,940
21,10,42,2,16,950,992,982
22,10,80,1,15,992,1072,1062
24,11,51,2,14,1072,1123,1112
23,11,98,3,12,1123,1221,1210
29,12,12,1,16,1221,1233,1221
27,12,23,2,30,1233,1256,1244
25,12,36,1,24,1256,1292,1280
28,12,57,2,17,1292,1349,1337
26,12,75,1,23,1349,1424,1412
30,13,30,1,24,1424,1454,1441
31,13,62,1,30,1454,1516,1503
32,14,53,3,16,1516,1569,1555
33,14,90,3,34,1569,1659,1645
34,15,61,3,26,1659,1720,1705
35,16,25,3,28,1720,1745,1729
36,16,69,1,33,1745,1814,1798
38,17,38,2,35,1814,1852,1835
37,17,84,1,19,1852,1936,1919
39,18,25,1,23,1936,1961,1943
42,19,19,3,23,1961,1980,1961
41,19,35,2,32,1980,2015,1996
40,19,91,2,36,2015,2106,2087
43,20,74,2,28,2106,2180,2160
44,21,87,1,28,2180,2267,2246
45,22,73,2,35,2267,2340,2318
46,22,96,2,41,2340,2436,2414
47,23,17,3,38,2436,2453,2430
48,24,95,1,42,2453,2548,2524
49,25,28,1,45,2548,2576,2551
50,26,61,2,45,2576,2637,2611
52,27,8,1,45,2637,2645,2618
51,27,70,1,47,2645,2715,2688
53,28,38,1,40,2715,2753,2725
54,29,51,3,38,2753,2804,2775
57,30,16,2,35,2804,2820,2790
55,30,37,2,41,2820,2857,2827
56,30,95,2,47,2857,2952,2922
59,31,4,3,37,2952,2956,2925
60,31,13,3,49,2956,2969,2938
58,31,50,1,48,2969,3019,2988
61,32,25,3,52,3019,3044,3012
62,33,55,1,51,3044,3099,3066
64,34,29,3,50,3099,3128,3094
63,34,86,1,35,3128,3214,3180
65,35,56,1,45,3214,3270,3235
67,36,6,2,49,3270,3276,3240
66,36,18,1,41,3276,3294,3258
68,37,54,1,47,3294,3348,3311
70,38,85,3,45,3348,3433,3395
69,38,90,3,44,3433,3523,3485
71,39,87,1,44,3523,3610,3571
73,40,17,3,48,3610,3627,3587
72,40,73,3,41,3627,3700,3660
74,41,6,2,53,3700,3706,3665
75,41,30,3,42,3706,3736,3695
77,42,58,2,56,3736,3794,3752
78,42,68,1,43,3794,3862,3820
76,42,79,2,62,3862,3941,3899
79,43,82,1,62,3941,4023,3980
80,44,19,2,58,4023,4042,3998
