Job ID,Arrival,Burst,Priority,Deadline,Start,End,Turn Around
0,0,18,1,5,0,18,18
1,1,22,2,11,18,40,39
2,1,84,3,8,40,124,123
3,2,47,1,6,124,171,169
4,2,35,1,11,171,206,204
5,2,7,3,12,206,213,211
6,3,3,2,6,213,216,213
7,3,43,2,19,216,259,256
8,4,93,1,8,259,352,348
9,4,27,2,12,352,379,375
10,4,96,3,11,379,475,471
11,4,67,2,10,475,542,538
12,4,14,2,16,542,556,552
13,5,90,1,8,556,646,641
14,6,41,3,18,646,687,681
15,6,99,1,12,687,786,780
16,7,88,1,12,786,874,867
17,7,73,2,11,874,947,940
18,7,42,2,18,947,989,982
19,7,27,3,16,989,1016,1009
20,7,40,1,23,1016,1056,1049
21,7,70,3,17,1056,1126,1119
22,7,21,2,19,1126,1147,1140
23,7,60,2,25,1147,1207,1200
24,8,75,2,20,1207,1282,1274
25,8,26,3,28,1282,1308,1300
26,9,97,2,12,1308,1405,1396
27,9,97,3,22,1405,1502,1493
28,10,24,1,12,1502,1526,1516
29,11,36,2,19,1526,1562,1551
30,11,19,2,30,1562,1581,1570
31,12,50,3,30,1581,1631,1619
32,13,61,1,30,1631,1692,1679
33,14,86,1,23,1692,1778,1764
34,15,76,2,32,1778,1854,1839
35,15,3,3,27,1854,1857,1842
36,16,46,1,33,1857,1903,1887
37,16,19,3,25,1903,1922,1906
38,16,60,3,19,1922,1982,1966
39,17,79,3,31,1982,2061,2044
40,18,22,3,19,2061,2083,2065
41,18,72,1,31,2083,2155,2137
42,18,40,2,36,2155,2195,2177
43,19,21,1,30,2195,2216,2197
44,20,23,3,33,2216,2239,2219
45,21,9,3,41,2239,2248,2227
46,21,62,2,39,2248,2310,2289
47,22,44,3,25,2310,2354,2332
48,23,96,3,38,2354,2450,2427
49,23,72,2,32,2450,2522,2499
50,23,70,1,41,2522,2592,2569
51,23,74,2,27,2592,2666,2643
52,23,96,2,29,2666,2762,2739
53,24,34,1,31,2762,2796,2772
54,24,71,3,33,2796,2867,2843
55,25,50,3,34,2867,2917,2892
56,26,81,2,29,2917,2998,2972
57,27,51,1,29,2998,3049,3022
58,27,31,1,40,3049,3080,3053
59,28,43,1,32,3080,3123,3095
60,28,89,2,33,3123,3212,3184
61,29,25,2,39,3212,3237,3208
62,30,80,3,44,3237,3317,3287
63,31,48,2,34,3317,3365,3334
64,32,2,2,51,3365,3367,3335
65,32,8,2,50,3367,3375,3343
66,33,21,1,51,3375,3396,3363
67,34,75,3,48,3396,3471,3437
68,34,12,2,50,3471,3483,3449
69,35,88,1,37,3483,3571,3536
70,35,35,3,51,3571,3606,3571
71,36,33,3,38,3606,3639,3603
72,36,51,2,37,3639,3690,3654
73,36,93,2,53,3690,3783,3747
74,37,69,1,54,3783,3852,3815
75,37,55,2,45,3852,3907,3870
76,37,50,2,57,3907,3957,3920
77,38,41,3,51,3957,3998,3960
78,38,65,1,57,3998,4063,4025
79,39,94,1,53,4063,4157,4118
80,40,57,1,47,4157,4214,4174
81,40,47,1,42,4214,4261,4221
82,40,18,3,52,4261,4279,4239
83,40,96,3,54,4279,4375,4335
84,40,32,1,50,4375,4407,4367
85,40,18,3,58,4407,4425,4385
86,40,55,1,57,4425,4480,4440
87,41,57,2,44,4480,4537,4496
88,42,25,3,48,4537,4562,4520
89,43,40,2,49,4562,4602,4559
90,44,97,1,56,4602,4699,4655
91,44,53,2,47,4699,4752,4708
92,44,78,1,61,4752,4830,4786
93,45,50,2,52,4830,4880,4835
94,45,81,3,64,4880,4961,4916
95,45,88,1,61,4961,5049,5004
96,45,39,3,54,5049,5088,5043
97,45,57,1,56,5088,5145,5100
98,45,85,1,51,5145,5230,5185
99,46,94,1,59,5230,5324,5278
100,47,15,2,55,5324,5339,5292
101,48,23,2,62,5339,5362,5314
102,49,15,2,53,5362,5377,5328
103,50,11,1,66,5377,5388,5338
104,50,47,2,69,5388,5435,5385
105,51,19,3,64,5435,5454,5403
106,52,85,2,65,5454,5539,5487
107,52,96,2,67,5539,5635,5583
108,52,34,2,62,5635,5669,5617
109,53,15,2,70,5669,5684,5631
110,53,58,2,72,5684,5742,5689
111,53,86,1,63,5742,5828,5775
112,53,93,2,71,5828,5921,5868
113,54,87,2,60,5921,6008,5954
114,54,1,1,68,6008,6009,5955
115,54,92,3,61,6009,6101,6047
116,54,5,3,55,6101,6106,6052
117,54,7,2,55,6106,6113,6059
118,55,3,1,70,6113,6116,6061
119,56,46,1,57,6116,6162,6106
120,56,31,2,74,6162,6193,6137
121,56,33,1,66,6193,6226,6170
122,56,81,1,58,6226,6307,6251
123,56,14,3,68,6307,6321,6265
124,57,50,1,74,6321,6371,6314
125,57,5,1,62,6371,6376,6319
126,58,86,1,75,6376,6462,6404
127,59,89,3,67,6462,6551,6492
128,60,35,2,76,6551,6586,6526
129,60,82,3,66,6586,6668,6608
130,60,4,2,78,6668,6672,6612
131,60,32,3,79,6672,6704,6644
132,60,49,2,80,6704,6753,6693
133,61,3,3,80,6753,6756,6695
134,61,2,1,75,6756,6758,6697
135,61,24,2,63,6758,6782,6721
136,61,7,2,81,6782,6789,6728
137,62,60,3,75,6789,6849,6787
138,62,3,1,68,6849,6852,6790
139,62,63,1,66,6852,6915,6853
140,62,4,2,77,6915,6919,6857
141,62,82,3,81,6919,7001,6939
142,62,54,2,74,7001,7055,6993
143,62,6,1,70,7055,7061,6999
144,62,93,3,82,7061,7154,7092
145,63,36,3,78,7154,7190,7127
146,64,3,1,75,7190,7193,7129
147,64,26,2,69,7193,7219,7155
148,65,79,1,69,7219,7298,7233
149,65,21,1,68,7298,7319,7254
150,65,16,1,66,7319,7335,7270
151,65,67,1,83,7335,7402,7337
152,65,17,2,84,7402,7419,7354
153,65,91,1,83,7419,7510,7445
154,66,65,3,79,7510,7575,7509
155,66,48,1,73,7575,7623,7557
156,67,1,1,82,7623,7624,7557
157,67,91,3,79,7624,7715,7648
158,67,50,1,71,7715,7765,7698
159,67,30,1,70,7765,7795,7728
160,67,20,1,71,7795,7815,7748
161,67,46,3,82,7815,7861,7794
162,67,48,3,86,7861,7909,7842
163,68,1,2,74,7909,7910,7842
164,68,47,2,80,7910,7957,7889
165,69,90,1,73,7957,8047,7978
166,70,12,2,86,8047,8059,7989
167,70,15,3,77,8059,8074,8004
168,71,83,1,83,8074,8157,8086
169,71,42,2,82,8157,8199,8128
170,72,15,1,73,8199,8214,8142
171,73,64,2,87,8214,8278,8205
172,73,39,2,93,8278,8317,8244
173,73,86,3,91,8317,8403,8330
174,73,86,3,77,8403,8489,8416
175,73,7,1,85,8489,8496,8423
176,73,28,2,89,8496,8524,8451
177,74,40,1,78,8524,8564,8490
178,74,73,2,90,8564,8637,8563
179,74,57,3,88,8637,8694,8620
180,75,64,2,89,8694,8758,8683
181,76,89,3,88,8758,8847,8771
182,76,90,1,95,8847,8937,8861
183,77,94,1,80,8937,9031,8954
184,77,13,3,88,9031,9044,8967
185,77,21,2,90,9044,9065,8988
186,77,63,1,85,9065,9128,9051
187,78,71,1,90,9128,9199,9121
188,79,27,2,96,9199,9226,9147
189,79,80,3,90,9226,9306,9227
190,79,58,3,80,9306,9364,9285
191,80,99,1,87,9364,9463,9383
192,80,15,1,83,9463,9478,9398
193,80,33,3,99,9478,9511,9431
194,80,88,2,90,9511,9599,9519
195,80,98,3,82,9599,9697,9617
196,81,52,1,88,9697,9749,9668
197,82,29,2,88,9749,9778,9696
198,83,71,3,101,9778,9849,9766
199,84,61,2,89,9849,9910,9826
200,84,7,3,101,9910,9917,9833
201,84,71,3,88,9917,9988,9904
202,85,92,2,90,9988,10080,9995
203,85,3,2,101,10080,10083,9998
204,85,57,2,94,10083,10140,10055
205,86,99,3,91,10140,10239,10153
206,86,30,3,105,10239,10269,10183
207,87,96,3,97,10269,10365,10278
208,88,43,1,103,10365,10408,10320
209,89,8,1,99,10408,10416,10327
210,89,4,1,96,10416,10420,10331
211,90,40,2,92,10420,10460,10370
212,90,93,3,105,10460,10553,10463
213,91,48,2,108,10553,10601,10510
214,92,73,1,94,10601,10674,10582
215,93,54,1,110,10674,10728,10635
216,93,28,2,100,10728,10756,10663
217,93,82,2,113,10756,10838,10745
