Job ID,Arrival,Burst,Priority,Start,End,Turn Around
0,0,33,2,0,33,33
1,1,97,3,33,130,129
3,2,13,1,130,143,141
2,2,70,3,143,213,211
4,3,69,3,213,282,279
5,4,32,3,282,314,310
8,5,41,1,314,355,350
6,5,93,1,355,448,443
9,5,43,3,448,491,486
7,5,81,3,491,572,567
14,6,29,1,572,601,595
13,6,80,1,601,681,675
11,6,89,2,681,770,764
10,6,23,3,770,793,787
15,6,83,3,793,876,870
12,6,96,3,876,972,966
16,6,100,3,972,1072,1066
17,7,70,3,1072,1142,1135
18,8,73,3,1142,1215,1207
19,9,86,2,1215,1301,1292
21,10,17,1,1301,1318,1308
20,10,15,3,1318,1333,1323
23,11,5,1,1333,1338,1327
24,11,9,1,1338,1347,1336
22,11,8,3,1347,1355,1344
25,12,66,2,1355,1421,1409
26,13,40,3,1421,1461,1448
28,14,33,2,1461,1494,1480
27,14,90,3,1494,1584,1570
29,15,98,1,1584,1682,1667
30,16,0,2,1682,1682,1666
31,17,4,3,1682,1686,1669
32,18,42,3,1686,1728,1710
35,18,48,3,1728,1776,1758
34,18,56,3,1776,1832,1814
33,18,71,3,1832,1903,1885
36,19,25,1,1903,1928,1909
37,19,1,3,1928,1929,1910
38,20,18,1,1929,1947,1927
40,20,19,1,1947,1966,1946
39,20,34,1,1966,2000,1980
41,21,75,1,2000,2075,2054
42,22,24,2,2075,2099,2077
43,22,99,3,2099,2198,2176
45,23,55,1,2198,2253,2230
46,23,0,2,2253,2253,2230
44,23,5,3,2253,2258,2235
47,24,99,2,2258,2357,2333
48,25,77,1,2357,2434,2409
49,26,81,2,2434,2515,2489
50,27,38,1,2515,2553,2526
51,28,5,1,2553,2558,2530
56,28,71,1,2558,2629,2601
55,28,75,1,2629,2704,2676
54,28,99,1,2704,2803,2775
53,28,46,2,2803,2849,2821
52,28,59,2,2849,2908,2880
59,28,16,3,2908,2924,2896
58,28,33,3,2924,2957,2929
57,28,75,3,2957,3032,3004
